road,id,model_type,name,lat,lon,length
N1,LRP280a,bridge,bridge 266,22.1498523145631,92.0696330718446,9.2
N1,LRP282a,bridge,bridge 267,22.1369522329341,92.0699301281437,12.4
N1,LRP282c,bridge,bridge 268,22.1325208428571,92.0701565366459,15.4
N1,LRP282e,bridge,bridge 269,22.1299160285714,92.0706024714285,33.65
N1,LRP283a,bridge,bridge 270,22.1277338010309,92.0710012276288,28.0
N1,LRP283c,bridge,bridge 271,22.1230775989717,92.071701048329,15.4
N1,LRP283d,bridge,bridge 272,22.1204875006655,92.0719705134775,20.4
N1,LRP284a,bridge,bridge 273,22.1133524851063,92.0726869042553,5.0
N1,LRP286b,bridge,bridge 274,22.09827857,92.074800422,7.2
N1,LRP287a,bridge,bridge 275,22.0935775004504,92.0805047995495,11.2
N1,LRP288a,bridge,bridge 276,22.0840668315789,92.093196937799,2.0
N1,LRP289a,bridge,bridge 277,22.080520608,92.0984855314285,12.6
N1,LRP291a,bridge,bridge 278,22.0695600813559,92.1042754237288,30.3
N1,LRP291c,bridge,bridge 279,22.0679099558303,92.1055530035335,2.0
N1,LRP291d,bridge,bridge 280,22.0637567157894,92.1071061094736,38.5
N1,LRP292a,bridge,bridge 281,22.06088615,92.10773337,2.5
N1,LRP292b,bridge,bridge 282,22.0565051155339,92.1090854592233,8.2
N1,LRP293a,bridge,bridge 283,22.0519296419354,92.1090613887096,12.6
N1,LRP293c,bridge,bridge 284,22.0483713234624,92.1081938519362,6.0
N1,LRP294a,bridge,bridge 285,22.0440962566176,92.1070629529411,13.64
N1,LRP294c,bridge,bridge 286,22.0375898525773,92.1039891092783,2.5
N1,LRP295a,bridge,bridge 287,22.031864884656,92.1041246666666,2.5
N1,LRP295b,bridge,bridge 288,22.0287013636363,92.1034293272727,68.8
N1,LRP296a,bridge,bridge 289,22.0260045474972,92.1026967443826,2.0
N1,LRP296b,bridge,bridge 290,22.0204980278439,92.1014277681473,10.0
N1,LRP298a,bridge,bridge 291,22.0078200503225,92.0927765812903,3.0
N1,LRP299a,bridge,bridge 292,22.0041726139784,92.0905686346236,12.6
N1,LRP299c,bridge,bridge 293,22.00042964,92.0883193766666,6.2
N1,LRP300a,bridge,bridge 294,21.9958359641681,92.0874589126142,3.0
N1,LRP300b,bridge,bridge 295,21.9957410021937,92.0874460645338,12.4
N1,LRP300d,bridge,bridge 296,21.9922334387096,92.0863582073732,58.8
N1,LRP301a,bridge,bridge 297,21.990280244375,92.08568596625,14.2
N1,LRP301b,bridge,bridge 298,21.9870408741379,92.0839943655172,24.2
N1,LRP302a,bridge,bridge 299,21.9819040437735,92.080773326415,22.5
N1,LRP302c,bridge,bridge 300,21.9804623633858,92.0788716271653,18.7
N1,LRP302e,bridge,bridge 301,21.979298574269,92.0758492263157,3.5
N1,LRP303a,bridge,bridge 302,21.9738684029498,92.0683204789577,2.5
N1,LRP304b,bridge,bridge 303,21.9689581196808,92.0641501117021,1.5
